,country_code,region_id,region_level,region_name,support_below_18
313,US,828,PROVINCE,"Monterey-Salinas,DMA®",True
314,JP,1850144,PROVINCE,Tokyo,True
315,AR,3836276,PROVINCE,Santa Fe,True
316,US,709,PROVINCE,"Tyler-Longview (Lufkin-Nacogdoches),DMA®",True
317,MX,4017700,PROVINCE,Baja California,True
318,MX,3516391,PROVINCE,Tamaulipas,True
319,IE,2960935,PROVINCE,Wicklow,True
320,US,519,PROVINCE,"Charleston, SC,DMA®",True
321,ZA,1085593,PROVINCE,Eastern Cape,True
322,US,676,PROVINCE,"Duluth-Superior, WI,DMA®",True
323,PT,2742031,PROVINCE,Braga,True
324,FI,830705,PROVINCE,Tavastia Proper,True
325,RO,679385,PROVINCE,Dambovita,True
326,AR,3835868,PROVINCE,Santiago del Estero,True
327,US,549,PROVINCE,"Watertown,DMA®",True
328,EG,7603259,PROVINCE,Luxor,True
329,US,764,PROVINCE,"Rapid City,DMA®",True
330,US,649,PROVINCE,"Evansville,DMA®",True
331,US,624,PROVINCE,"Sioux City,DMA®",True
332,IT,3176525,PROVINCE,Friuli Venezia Giulia,True
333,AR,3862286,PROVINCE,Catamarca,True
334,CH,2659495,PROVINCE,Neuchatel,True
335,US,766,PROVINCE,"Helena,DMA®",True
336,CH,2661602,PROVINCE,Basel Stadt,True
337,US,518,PROVINCE,"Greensboro–High Point–Winston-Salem,DMA®",True
338,TR,308463,PROVINCE,Kayseri,True
339,TR,323784,PROVINCE,Ankara,True
340,TR,862467,PROVINCE,Bartin,True
341,EG,354500,PROVINCE,Kafr El Sheikh,True
342,US,740,PROVINCE,"North Platte,DMA®",True
343,US,798,PROVINCE,"Glendive,DMA®",True
344,TR,304041,PROVINCE,Mus,True
345,US,675,PROVINCE,"Peoria-Bloomington,DMA®",True
346,SE,3337385,PROVINCE,Skane,True
347,US,505,PROVINCE,"Detroit,DMA®",True
348,NO,3159665,PROVINCE,Viken,True
349,US,691,PROVINCE,"Huntsville-Decatur (Florence),DMA®",True
350,US,4398678,PROVINCE,Missouri,True
351,TR,315372,PROVINCE,Erzincan,True
352,US,628,PROVINCE,"Monroe-El Dorado,DMA®",True
353,CA,6091069,PROVINCE,Northwest Territories,True
354,SE,2685867,PROVINCE,Ostergotland,True
355,TR,739598,PROVINCE,Sinop,True
356,FR,3027939,PROVINCE,Centre Val de Loire,True
357,TR,306569,PROVINCE,Konya,True
358,US,640,PROVINCE,"Memphis,DMA®",True
359,CA,6091732,PROVINCE,Nunavut,True
360,US,692,PROVINCE,"Beaumont-Port Arthur,DMA®",True
361,US,515,PROVINCE,"Cincinnati,DMA®",True
362,NO,11862827,PROVINCE,Trondelag,True
