iso3;age_13_17_men;age_13_17_women;age_18_24_men;age_18_24_women;age_25_34_men;age_25_34_women;age_35_44_men;age_35_44_women;age_45_54_men;age_45_54_women;age_55_100_men;age_55_100_women;age_13_17_ratio;age_18_24_ratio;age_25_34_ratio;age_35_44_ratio;age_45_54_ratio;age_55_100_ratio;total_men;total_women;total_all;total_ratio;iso2
CHL;490485.0;470962.0;948358.0;921345.0;1631175.0;1592575.0000000002;1462648.0;1437704.0;1288475.0;1290442.0;2288839.0;2576379.0;0.9601965401592302;0.971516030865981;0.976336076754487;0.9829459993108388;1.0015266109160053;1.125627010025607;8109980.0;8289407.0;16399387.0;1.0221242222545557;CL
CHN;35898813.0;30602079.0;60215679.0;51599603.0;107500550.0;95927876.0;107549841.0;101261144.0;114053869.0;111540180.0;182039317.0;203082076.0;0.8524537844747123;0.8569130807276956;0.8923477693835055;0.941527603002221;0.9779605109231324;1.1155945833393783;607258069.0;594012958.0;1201271027.0;0.9781886619937198;CN
CIV;1398992.0;1329488.0;1995024.0;1827216.0;2180245.0;2242269.0;1840616.0;1801964.0;1170158.0;991152.0;1006704.0;961653.0;0.9503185150451182;0.9158867261747226;1.0284481789890585;0.9790005085254068;0.8470240770904442;0.9552490106327182;9591739.0;9153742.0;18745481.0;0.9543360176918908;CI
CMR;1264664.0;1259038.0;1825919.0;1824903.0;2048479.0;2063118.0;1467926.0;1485693.0;913051.0;938235.0;853692.0;975804.0;0.99555138756223;0.9994435678691114;1.0071462777992843;1.012103471155903;1.0275822489652824;1.1430398785510465;8373731.0;8546791.0;16920522.0;1.0206670121120442;CM
COD;4562988.0;4580420.0;6522925.0;6566804.0;6897231.0;7002344.000000001;4448667.0;4557377.0;2954556.0;3110884.0;3412435.0;3890868.0;1.0038203037132687;1.0067268901604725;1.0152398839476309;1.0244365334604726;1.0529108265336653;1.1402028170499952;28798802.0;29708697.0;58507499.0;1.0315948906485763;CD
COG;271231.0;268173.0;374052.0;371045.0;415300.0;414035.0;339910.0;339090.0;241149.00000000003;246113.0;219349.0;243694.0;0.9887254775449708;0.9919610107685564;0.996954009150012;0.997587596716778;1.0205847836814583;1.1109875130499798;1860991.0;1882150.0;3743141.0;1.0113697486984086;CG
COK;523.0;498.0;599.0;607.0;711.0;856.0;826.0;917.0;912.0;999.0;1802.0000000000005;1889.0000000000005;0.9521988527724664;1.013355592654424;1.2039381153305204;1.1101694915254237;1.0953947368421053;1.048279689234184;5373.0;5766.0;11139.0;1.073143495254048;CK
COL;1612023.0;1547754.0;3088703.0;3015342.0000000005;4468529.0;4459550.0;3743573.0;3811879.0;3018604.0;3191417.0;4625495.0;5417782.0;0.9601314621441506;0.9762486066157868;0.9979906139134376;1.0182462048956973;1.057249311271038;1.171286964962669;20556927.0;21443724.0;42000651.0;1.0431385975150858;CO
COM;36223.0;34397.0;55825.0;54085.0;57316.0;60730.0;49801.0;48769.0;34952.0;32483.0;38360.99999999999;41347.0;0.94959003947768;0.9688311688311688;1.0595645195058971;0.9792775245477;0.929360265506981;1.0778394723808036;272478.0;271811.0;544289.0;0.9975520959490308;KM
CPV;20045.0;18560.0;31761.0;27960.0;48522.0;44904.0;39806.0;36016.0;25723.0;23857.000000000004;32488.0;41633.0;0.9259166874532302;0.8803249267970152;0.9254358847533076;0.9047882228809728;0.9274579170392258;1.2814885496183208;198345.0;192930.0;391275.0;0.9726990849277772;CV
