iso3;age_13_17_men;age_13_17_women;age_18_24_men;age_18_24_women;age_25_34_men;age_25_34_women;age_35_44_men;age_35_44_women;age_45_54_men;age_45_54_women;age_55_100_men;age_55_100_women;age_13_17_ratio;age_18_24_ratio;age_25_34_ratio;age_35_44_ratio;age_45_54_ratio;age_55_100_ratio;total_men;total_women;total_all;total_ratio;total_18_44_men;total_18_44_women;total_18_44_ratio;iso2;age_13_17_ratio_std;age_18_24_ratio_std;age_25_34_ratio_std;age_35_44_ratio_std;age_45_54_ratio_std;age_55_100_ratio_std;total_ratio_std;total_18_44_ratio_std;age_13_17_men_pen;age_13_17_women_pen;age_18_24_men_pen;age_18_24_women_pen;age_25_34_men_pen;age_25_34_women_pen;age_35_44_men_pen;age_35_44_women_pen;age_45_54_men_pen;age_45_54_women_pen;age_55_100_men_pen;age_55_100_women_pen;total_men_pen;total_women_pen;total_all_pen;total_18_44_men_pen;total_18_44_women_pen
BRA;5441;5229;14654166;18070833;18751268;21741667;12625000;17075000;7291667;11466667;6141667;11762500;0.961;1.2332;1.1595;1.3525;1.5726;1.9152;59469209;80121896;139591105;1.3473;46030434;56887500;1.2359;BR;0.9984;1.2679;1.167;1.326;1.4957;1.6196;1.285;1.2384;0.0009;0.0009;1.2938;1.6403;1.146;1.3374;0.7701;1.0211;0.551;0.8241;0.3035;0.4915;0.711;0.9136;0.8147;1.0442;1.293
BHS;2000;2000;12975;16300;20628;23674;11450;14848;5642;8272;4320;6392;1.0;1.2563;1.1477;1.2968;1.4661;1.4796;57015;71486;128501;1.2538;45053;54822;1.2168;BS;1.0134;1.2401;1.0828;1.163;1.3141;1.1832;1.1233;1.1406;0.1741;0.1765;0.6523;0.8088;0.6464;0.6999;0.4278;0.4976;0.2172;0.2854;0.1078;0.1275;0.3652;0.4102;0.389;0.5734;0.6541
BTN;2000;2000;26417;33133;26071;27563;11100;11163;3617;3082;3175;3254;1.0;1.2542;1.0572;1.0057;0.8521;1.0249;72380;80195;152575;1.108;63588;71859;1.1301;BT;1.0837;1.3644;1.3306;1.2478;1.0372;1.0824;1.2968;1.3627;0.0713;0.0772;0.4994;0.6814;0.2931;0.39;0.1566;0.1954;0.0819;0.085;0.0602;0.0652;0.2143;0.2779;0.2436;0.2989;0.4073
BWA;2000;2000;39741;42858;33853;39425;15770;19487;5968;6726;6579;8408;1.0;1.0784;1.1646;1.2357;1.127;1.278;103911;118904;222815;1.1443;89364;101770;1.1388;BW;1.012;1.082;1.1791;1.2712;1.0819;1.1089;1.1307;1.1546;0.0202;0.0204;0.2285;0.2472;0.1438;0.1696;0.1052;0.1337;0.0642;0.0694;0.0659;0.0731;0.1221;0.138;0.1301;0.1598;0.1845
BLR;2000;2000;329651;500359;427864;575949;325706;573008;130311;341509;85326;314404;1.0;1.5178;1.3461;1.7593;2.6207;3.6847;1300858;2307229;3608087;1.7736;1083221;1649316;1.5226;BY;1.0565;1.6116;1.4116;1.769;2.3551;2.2971;1.4926;1.5707;0.01;0.0106;1.0533;1.6975;0.7044;0.9944;0.4496;0.7954;0.2214;0.5213;0.0783;0.1799;0.3692;0.551;0.4679;0.6586;1.0344
BLZ;2000;2000;26236;28562;19996;23032;8565;11426;3514;4879;3000;3508;1.0;1.0887;1.1518;1.334;1.3884;1.1693;63311;73407;136718;1.1595;54797;63020;1.1501;BZ;1.0371;1.1283;1.1977;1.3331;1.3457;1.1253;1.1707;1.1804;0.127;0.1317;0.9187;1.0365;0.5299;0.6347;0.3027;0.4036;0.1748;0.2352;0.1327;0.1493;0.4137;0.4843;0.4488;0.5793;0.6838
CAN;2046;2000;2049805;2215788;2958333;3079167;1769201;2184721;1077335;1397917;1075672;1703896;0.9775;1.081;1.0408;1.2349;1.2976;1.584;8932392;10583489;19515881;1.1848;6777339;7479676;1.1036;CA;1.0104;1.1413;1.1044;1.2385;1.2735;1.4322;1.1569;1.1451;0.0024;0.0024;1.2032;1.3731;1.0432;1.1521;0.6624;0.8203;0.447;0.5693;0.1777;0.2546;0.5403;0.6251;0.5832;0.94;1.0763
COD;2000;2000;228669;114133;184750;79963;53576;22562;18496;8034;43658;25704;1.0;0.4991;0.4328;0.4211;0.4344;0.5888;531149;252396;783545;0.4752;466995;216658;0.4639;CD;0.9962;0.4958;0.4263;0.4111;0.4126;0.5164;0.4606;0.4573;0.0004;0.0004;0.0351;0.0174;0.0268;0.0114;0.012;0.005;0.0063;0.0026;0.0128;0.0066;0.0184;0.0085;0.0134;0.0261;0.012
CAF;2000;2000;2629;2000;3009;2000;2000;2000;2000;2000;3000;3000;1.0;0.7607;0.6647;1.0;1.0;1.0;14638;13000;27638;0.8881;7638;6000;0.7855;CF;0.9949;0.6961;0.5403;0.7234;0.7026;0.6917;0.7445;0.6588;0.0076;0.0076;0.0073;0.0051;0.0109;0.0059;0.0151;0.0109;0.022;0.0155;0.0263;0.0182;0.0119;0.0088;0.0102;0.01;0.0066
COG;2000;2000;50071;28775;32830;19475;11300;6550;4059;2354;6946;5075;1.0;0.5747;0.5932;0.5796;0.5799;0.7306;107206;64229;171435;0.5991;94201;54800;0.5817;CG;1.0114;0.5793;0.595;0.581;0.5682;0.6576;0.5923;0.5843;0.0074;0.0075;0.1339;0.0776;0.0791;0.047;0.0332;0.0193;0.0168;0.0096;0.0317;0.0208;0.0576;0.0341;0.0458;0.0834;0.0487
