iso3;Country;age_13_17_men;age_13_17_women;age_18_24_men;age_18_24_women;age_25_34_men;age_25_34_women;age_35_44_men;age_35_44_women;age_45_54_men;age_45_54_women;age_55_100_men;age_55_100_women;age_13_17_ratio;age_18_24_ratio;age_25_34_ratio;age_35_44_ratio;age_45_54_ratio;age_55_100_ratio;total_men;total_women;total_all;total_ratio;total_18_44_men;total_18_44_women;total_18_44_ratio;iso2;age_13_17_ratio_std;age_18_24_ratio_std;age_25_34_ratio_std;age_35_44_ratio_std;age_45_54_ratio_std;age_55_100_ratio_std;total_ratio_std;total_18_44_ratio_std;age_13_17_men_pen;age_13_17_women_pen;age_18_24_men_pen;age_18_24_women_pen;age_25_34_men_pen;age_25_34_women_pen;age_35_44_men_pen;age_35_44_women_pen;age_45_54_men_pen;age_45_54_women_pen;age_55_100_men_pen;age_55_100_women_pen;total_men_pen;total_women_pen;total_all_pen;total_18_44_men_pen;total_18_44_women_pen
CAF;CF;2000;2000;38283;22679;48294;27291;28801;14292;13383;5120;9281;4723;1.0;0.5924;0.5651;0.4962;0.3826;0.5089;140042;76105;216147;0.5434;115378;64262;0.557;CF;0.9949;0.5421;0.4593;0.3589;0.2688;0.352;0.4555;0.4671;0.0076;0.0076;0.107;0.058;0.175;0.0804;0.2171;0.0779;0.1475;0.0396;0.0815;0.0287;0.1135;0.0517;0.0799;0.1505;0.0703
COG;CG;2000;2000;187636;160344;229149;180391;144955;99361;74766;39357;75712;42373;1.0;0.8545;0.7872;0.6855;0.5264;0.5597;714218;523826;1238044;0.7334;561740;440096;0.7835;CG;1.0114;0.8614;0.7896;0.6871;0.5158;0.5038;0.7251;0.787;0.0074;0.0075;0.5016;0.4321;0.5518;0.4357;0.4265;0.293;0.31;0.1599;0.3452;0.1739;0.3838;0.2783;0.3308;0.4974;0.3915
CHE;CH;2000;2000;113727;99463;403495;398251;421729;444742;331614;351448;427645;447122;1.0;0.8746;0.987;1.0546;1.0598;1.0455;1700210;1743026;3443236;1.0252;938951;942456;1.0037;CH;1.0604;0.9343;1.0221;1.0751;1.0675;0.9365;1.0;1.0393;0.0113;0.012;0.3482;0.3253;0.6774;0.6924;0.6643;0.7142;0.5334;0.5694;0.3062;0.2867;0.453;0.453;0.453;0.603;0.6268
CIV;CI;2000;2000;1419652;983207;1764421;1165086;1112989;615171;516787;207087;353950;177702;1.0;0.6926;0.6603;0.5527;0.4007;0.5021;5169799;3150253;8320052;0.6094;4297062;2763464;0.6431;CI;1.0523;0.7562;0.6421;0.5646;0.4731;0.5256;0.6386;0.6589;0.0014;0.0015;0.7116;0.5381;0.8093;0.5196;0.6047;0.3414;0.4416;0.2089;0.3516;0.1848;0.539;0.3441;0.4438;0.7143;0.4707
COK;CK;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;3000;3000;1.0;1.0;1.0;1.0;1.0;1.0;13000;13000;26000;1.0;6000;6000;1.0;CK;1.0502;0.9868;0.8306;0.9007;0.9129;0.9539;0.9319;0.8975;3.8241;4.0161;3.3389;3.2949;2.8129;2.3364;2.4213;2.181;2.193;2.002;1.6648;1.5881;2.4195;2.2546;2.3341;2.809;2.521
CHL;CL;2000;2000;834358;821916;1911293;1861733;1503600;1534663;1053737;1191417;1375062;1725163;1.0;0.9851;0.9741;1.0207;1.1307;1.2546;6680050;7136892;13816942;1.0684;4249251;4218312;0.9927;CL;1.0414;1.014;0.9977;1.0385;1.129;1.1146;1.0453;1.0154;0.0041;0.0042;0.8798;0.8921;1.1717;1.169;1.028;1.0674;0.8178;0.9233;0.6008;0.6696;0.8237;0.861;0.8425;1.0512;1.0675
CMR;CM;2000;2000;1092233;793306;1197506;921855;653808;486439;280999;178494;219278;152637;1.0;0.7263;0.7698;0.744;0.6352;0.6961;3445824;2534731;5980555;0.7356;2943547;2201600;0.7479;CM;1.0044;0.7267;0.7644;0.7351;0.6181;0.609;0.7207;0.7435;0.0016;0.0016;0.5982;0.4347;0.5846;0.4468;0.4454;0.3274;0.3078;0.1902;0.2569;0.1564;0.4115;0.2966;0.3534;0.551;0.4097
CHN;CN;2114;2000;174255;204219;434844;435574;302266;189909;90460;39961;35189;15458;0.9461;1.172;1.0017;0.6283;0.4418;0.4393;1039128;887121;1926249;0.8537;911365;829702;0.9104;CN;1.1098;1.3677;1.1226;0.6673;0.4517;0.3938;0.8727;1.0073;0.0001;0.0001;0.0029;0.004;0.004;0.0045;0.0028;0.0019;0.0008;0.0004;0.0002;0.0001;0.0017;0.0015;0.0016;0.0033;0.0033
COL;CO;3088;3636;4244269;4054315;5700000;5500000;3800000;3900000;2400000;2662069;2864387;3267572;1.1775;0.9552;0.9649;1.0263;1.1092;1.1408;19011744;19387592;38399336;1.0198;13744269;13454315;0.9789;CO;1.2264;0.9785;0.9668;1.008;1.0492;0.974;0.9777;0.9801;0.0019;0.0023;1.3741;1.3446;1.2756;1.2333;1.0151;1.0231;0.7951;0.8341;0.6193;0.6031;0.9248;0.9041;0.9143;1.2162;1.192
CRI;CR;2000;2000;322816;304471;533824;502986;426542;430432;273904;286037;325262;382347;1.0;0.9432;0.9422;1.0091;1.0443;1.1755;1884348;1908273;3792621;1.0127;1283182;1237889;0.9647;CR;1.0437;0.9822;0.9689;1.0036;0.9718;1.0167;0.9753;0.9831;0.0135;0.0141;1.1892;1.168;1.2879;1.2479;1.1048;1.1088;0.9216;0.8956;0.6158;0.6261;0.9213;0.8986;0.9098;1.197;1.1768
