country_code,bucket,sex,pop
CHE,55plus,female,644538.0
CHI,1014,male,4501.0
CHI,1014,female,4367.0
CHI,1519,male,4499.0
CHI,1519,female,4378.0
CHI,2024,male,4643.0
CHI,2024,female,4488.0
CHI,2534,male,10324.0
CHI,2534,female,9855.0
CHI,3544,male,11467.0
CHI,3544,female,11273.0
CHI,4554,male,11666.0
CHI,4554,female,11922.0
CHI,55plus,male,12761.0
CHI,55plus,female,13161.0
CHL,1014,male,632896.0
CHL,1014,female,609304.0
CHL,1519,male,623629.0
CHL,1519,female,600000.0
CHL,2024,male,657857.0
CHL,2024,female,638301.0
CHL,2534,male,1599490.0
CHL,2534,female,1564641.0
CHL,3544,male,1537659.0
CHL,3544,female,1509754.0
CHL,4554,male,1316562.0
CHL,4554,female,1312981.0
CHL,55plus,male,1135268.0
CHL,55plus,female,1180044.0
CHN,1014,male,48117187.0
CHN,1014,female,41490149.0
CHN,1519,male,45314641.0
CHN,1519,female,38657905.0
CHN,2024,male,42180291.0
CHN,2024,female,36004354.0
CHN,2534,male,95737610.0
CHN,2534,female,84188048.0
CHN,3544,male,115015122.0
CHN,3544,female,107188260.0
CHN,4554,male,104255455.0
CHN,4554,female,101497634.0
CHN,55plus,male,103251276.0
CHN,55plus,female,105438044.0
CIV,1014,male,2071652.0
CIV,1014,female,2001803.0
CIV,1519,male,1821055.0
CIV,1519,female,1732287.0
CIV,2024,male,1504123.0
CIV,2024,female,1388637.0
CIV,2534,male,2285865.0
CIV,2534,female,2265354.0
CIV,3544,male,1916443.0
CIV,3544,female,1950929.0
CIV,4554,male,1307610.0
CIV,4554,female,1134380.0
CIV,55plus,male,683013.0
CIV,55plus,female,620277.0
CMR,1014,male,1830617.0
CMR,1014,female,1809995.0
CMR,1519,male,1619293.0
CMR,1519,female,1612191.0
CMR,2024,male,1359638.0
CMR,2024,female,1359719.0
CMR,2534,male,2167236.0
CMR,2534,female,2184936.0
CMR,3544,male,1600039.0
CMR,3544,female,1623698.0
CMR,4554,male,1010863.0
CMR,4554,female,1041472.0
CMR,55plus,male,564749.0
CMR,55plus,female,608021.0
COD,1014,male,7178438.0
COD,1014,female,7188912.0
COD,1519,male,5896690.0
COD,1519,female,5926746.0
COD,2024,male,4845048.0
COD,2024,female,4890373.0
COD,2534,male,7485641.0
COD,2534,female,7606216.0
COD,3544,male,4920085.0
COD,3544,female,5043024.0
COD,4554,male,3146102.0
COD,4554,female,3304220.0
COD,55plus,male,2122045.0
COD,55plus,female,2320375.0
COG,1014,male,417747.0
COG,1014,female,410903.0
COG,1519,male,355117.0
COG,1519,female,351017.0
COG,2024,male,282137.0
COG,2024,female,280068.0
COG,2534,male,436634.0
COG,2534,female,435017.0
COG,3544,male,353849.0
COG,3544,female,354350.0
COG,4554,male,261640.0
COG,4554,female,265490.0
COG,55plus,male,154915.0
COG,55plus,female,165607.0
COL,1014,male,1846244.0
COL,1014,female,1771084.0
COL,1519,male,1995140.0
COL,1519,female,1918233.0
COL,2024,male,2175030.0
COL,2024,female,2121962.0
COL,2534,male,4581800.0
COL,2534,female,4572201.0
COL,3544,male,3942116.0
COL,3544,female,3995975.0
COL,4554,male,3148316.0
COL,4554,female,3305573.0
COL,55plus,male,2648032.0
COL,55plus,female,2890440.0
COM,1014,male,51180.0
COM,1014,female,49668.0
COM,1519,male,45769.0
COM,1519,female,43768.0
