,index,name,ages_ranges,geo_location,genders,interests,behavior,scholarities,languages,family_statuses,all_fields,targeting,response,lower_end,upper_end,user_count_stage,timestamp
560,560,LB,AGE_35_44,272103,GENDER_FEMALE,,,,,,"{'advertiser_id': '7381489555305775105', 'objective_type': 'REACH', 'optimization_goal': 'REACH', 'placements': ['PLACEMENT_TIKTOK', 'PLACEMENT_PANGLE', 'PLACEMENT_GLOBAL_APP_BUNDLE'], 'location_ids': ['272103'], 'gender': 'GENDER_FEMALE', 'age_groups': ['AGE_35_44']}",,"{'code': 0, 'message': 'OK', 'request_id': '20250626232740ABB2D48AB13E3DB89552', 'data': {'user_count': {'lower_end': 220000, 'upper_end': 270000}, 'user_count_stage': 2}}",220000,270000,2,2025-06-27 01:29:34.842293
561,561,LB,AGE_45_54,272103,GENDER_FEMALE,,,,,,"{'advertiser_id': '7381489555305775105', 'objective_type': 'REACH', 'optimization_goal': 'REACH', 'placements': ['PLACEMENT_TIKTOK', 'PLACEMENT_PANGLE', 'PLACEMENT_GLOBAL_APP_BUNDLE'], 'location_ids': ['272103'], 'gender': 'GENDER_FEMALE', 'age_groups': ['AGE_45_54']}",,"{'code': 0, 'message': 'OK', 'request_id': '20250626232741B401AFC9951A8ABD58A6', 'data': {'user_count': {'lower_end': 122000, 'upper_end': 150000}, 'user_count_stage': 2}}",122000,150000,2,2025-06-27 01:29:34.842293
562,562,LB,AGE_55_100,272103,GENDER_FEMALE,,,,,,"{'advertiser_id': '7381489555305775105', 'objective_type': 'REACH', 'optimization_goal': 'REACH', 'placements': ['PLACEMENT_TIKTOK', 'PLACEMENT_PANGLE', 'PLACEMENT_GLOBAL_APP_BUNDLE'], 'location_ids': ['272103'], 'gender': 'GENDER_FEMALE', 'age_groups': ['AGE_55_100']}",,"{'code': 0, 'message': 'OK', 'request_id': '202506262327419A52371B38EAE0B4815E', 'data': {'user_count': {'lower_end': 145000, 'upper_end': 178000}, 'user_count_stage': 2}}",145000,178000,2,2025-06-27 01:29:34.842293
563,563,LB,AGE_13_17,272103,GENDER_MALE,,,,,,"{'advertiser_id': '7381489555305775105', 'objective_type': 'REACH', 'optimization_goal': 'REACH', 'placements': ['PLACEMENT_TIKTOK', 'PLACEMENT_PANGLE', 'PLACEMENT_GLOBAL_APP_BUNDLE'], 'location_ids': ['272103'], 'gender': 'GENDER_MALE', 'age_groups': ['AGE_13_17']}",,"{'code': 0, 'message': 'OK', 'request_id': '20250626232741EC094FD078ADEFD51621', 'data': {'user_count': {'lower_end': 0, 'upper_end': 1000}, 'user_count_stage': 1}}",0,1000,1,2025-06-27 01:29:34.842293
564,564,LB,AGE_18_24,272103,GENDER_MALE,,,,,,"{'advertiser_id': '7381489555305775105', 'objective_type': 'REACH', 'optimization_goal': 'REACH', 'placements': ['PLACEMENT_TIKTOK', 'PLACEMENT_PANGLE', 'PLACEMENT_GLOBAL_APP_BUNDLE'], 'location_ids': ['272103'], 'gender': 'GENDER_MALE', 'age_groups': ['AGE_18_24']}",,"{'code': 0, 'message': 'OK', 'request_id': '2025062623274206E09CAE4715BAB81FAA', 'data': {'user_count': {'lower_end': 593000, 'upper_end': 726000}, 'user_count_stage': 2}}",593000,726000,2,2025-06-27 01:29:34.842293
565,565,LB,AGE_18_24,272103,GENDER_FEMALE,,,,,,"{'advertiser_id': '7381489555305775105', 'objective_type': 'REACH', 'optimization_goal': 'REACH', 'placements': ['PLACEMENT_TIKTOK', 'PLACEMENT_PANGLE', 'PLACEMENT_GLOBAL_APP_BUNDLE'], 'location_ids': ['272103'], 'gender': 'GENDER_FEMALE', 'age_groups': ['AGE_18_24']}",,"{'code': 0, 'message': 'OK', 'request_id': '20250626232740F9369526C2C593B949C3', 'data': {'user_count': {'lower_end': 484000, 'upper_end': 593000}, 'user_count_stage': 2}}",484000,593000,2,2025-06-27 01:29:34.842293
566,566,LB,AGE_25_34,272103,GENDER_MALE,,,,,,"{'advertiser_id': '7381489555305775105', 'objective_type': 'REACH', 'optimization_goal': 'REACH', 'placements': ['PLACEMENT_TIKTOK', 'PLACEMENT_PANGLE', 'PLACEMENT_GLOBAL_APP_BUNDLE'], 'location_ids': ['272103'], 'gender': 'GENDER_MALE', 'age_groups': ['AGE_25_34']}",,"{'code': 0, 'message': 'OK', 'request_id': '20250626232742FD6C3B1CE2DFFBBABA16', 'data': {'user_count': {'lower_end': 1030000, 'upper_end': 1260000}, 'user_count_stage': 3}}",1030000,1260000,3,2025-06-27 01:29:34.842293
567,567,LB,AGE_45_54,272103,GENDER_MALE,,,,,,"{'advertiser_id': '7381489555305775105', 'objective_type': 'REACH', 'optimization_goal': 'REACH', 'placements': ['PLACEMENT_TIKTOK', 'PLACEMENT_PANGLE', 'PLACEMENT_GLOBAL_APP_BUNDLE'], 'location_ids': ['272103'], 'gender': 'GENDER_MALE', 'age_groups': ['AGE_45_54']}",,"{'code': 0, 'message': 'OK', 'request_id': '202506262327428A78E88590D494BA20A2', 'data': {'user_count': {'lower_end': 184000, 'upper_end': 226000}, 'user_count_stage': 2}}",184000,226000,2,2025-06-27 01:29:34.842293
568,568,LB,AGE_35_44,272103,GENDER_MALE,,,,,,"{'advertiser_id': '7381489555305775105', 'objective_type': 'REACH', 'optimization_goal': 'REACH', 'placements': ['PLACEMENT_TIKTOK', 'PLACEMENT_PANGLE', 'PLACEMENT_GLOBAL_APP_BUNDLE'], 'location_ids': ['272103'], 'gender': 'GENDER_MALE', 'age_groups': ['AGE_35_44']}",,"{'code': 0, 'message': 'OK', 'request_id': '202506262327420681C0D3923998BB8425', 'data': {'user_count': {'lower_end': 352000, 'upper_end': 431000}, 'user_count_stage': 2}}",352000,431000,2,2025-06-27 01:29:34.842293
569,569,LB,AGE_13_17,272103,GENDER_UNLIMITED,,,,,,"{'advertiser_id': '7381489555305775105', 'objective_type': 'REACH', 'optimization_goal': 'REACH', 'placements': ['PLACEMENT_TIKTOK', 'PLACEMENT_PANGLE', 'PLACEMENT_GLOBAL_APP_BUNDLE'], 'location_ids': ['272103'], 'gender': 'GENDER_UNLIMITED', 'age_groups': ['AGE_13_17']}",,"{'code': 0, 'message': 'OK', 'request_id': '20250626232743AC8A40AF232DFCBED61D', 'data': {'user_count': {'lower_end': 0, 'upper_end': 1000}, 'user_count_stage': 1}}",0,1000,1,2025-06-27 01:29:34.842293
570,570,LB,AGE_18_24,272103,GENDER_UNLIMITED,,,,,,"{'advertiser_id': '7381489555305775105', 'objective_type': 'REACH', 'optimization_goal': 'REACH', 'placements': ['PLACEMENT_TIKTOK', 'PLACEMENT_PANGLE', 'PLACEMENT_GLOBAL_APP_BUNDLE'], 'location_ids': ['272103'], 'gender': 'GENDER_UNLIMITED', 'age_groups': ['AGE_18_24']}",,"{'code': 0, 'message': 'OK', 'request_id': '20250626232743A3A21DB3E244B4B88B7E', 'data': {'user_count': {'lower_end': 1077000, 'upper_end': 1318000}, 'user_count_stage': 3}}",1077000,1318000,3,2025-06-27 01:29:34.842293
571,571,LB,AGE_55_100,272103,GENDER_MALE,,,,,,"{'advertiser_id': '7381489555305775105', 'objective_type': 'REACH', 'optimization_goal': 'REACH', 'placements': ['PLACEMENT_TIKTOK', 'PLACEMENT_PANGLE', 'PLACEMENT_GLOBAL_APP_BUNDLE'], 'location_ids': ['272103'], 'gender': 'GENDER_MALE', 'age_groups': ['AGE_55_100']}",,"{'code': 0, 'message': 'OK', 'request_id': '202506262327428A75B9BB4408D0BB7102', 'data': {'user_count': {'lower_end': 172000, 'upper_end': 211000}, 'user_count_stage': 2}}",172000,211000,2,2025-06-27 01:29:34.842293
572,572,LB,AGE_35_44,272103,GENDER_UNLIMITED,,,,,,"{'advertiser_id': '7381489555305775105', 'objective_type': 'REACH', 'optimization_goal': 'REACH', 'placements': ['PLACEMENT_TIKTOK', 'PLACEMENT_PANGLE', 'PLACEMENT_GLOBAL_APP_BUNDLE'], 'location_ids': ['272103'], 'gender': 'GENDER_UNLIMITED', 'age_groups': ['AGE_35_44']}",,"{'code': 0, 'message': 'OK', 'request_id': '20250626232743A3A21DB3E244B4B88B8E', 'data': {'user_count': {'lower_end': 572000, 'upper_end': 701000}, 'user_count_stage': 2}}",572000,701000,2,2025-06-27 01:29:34.842293
