iso3;Country;age_13_17_men;age_13_17_women;age_18_24_men;age_18_24_women;age_25_34_men;age_25_34_women;age_35_44_men;age_35_44_women;age_45_54_men;age_45_54_women;age_55_100_men;age_55_100_women;age_13_17_ratio;age_18_24_ratio;age_25_34_ratio;age_35_44_ratio;age_45_54_ratio;age_55_100_ratio;total_men;total_women;total_all;total_ratio
DJI;DJ;2000;2000;13960;10660;24206;14710;13810;7213;4924;2347;3310;3000;1.0;0.7636;0.6077;0.5223;0.4766;0.9063;62210;39930;102140;0.6419
DNK;DK;2000;2000;243756;238835;412621;403307;310010;322821;312781;335465;582958;693397;1.0;0.9798;0.9774;1.0413;1.0725;1.1894;1864126;1995825;3859951;1.0706
DMA;DM;2000;2000;3200;3200;5700;5433;4057;4200;2600;2963;3400;3870;1.0;1.0;0.9532;1.0352;1.1396;1.1382;20957;21666;42623;1.0338
DOM;DO;2000;2000;775538;701101;1183054;1074966;679486;649167;423739;404516;405762;405926;1.0;0.904;0.9086;0.9554;0.9546;1.0004;3469579;3237676;6707255;0.9332
DZA;DZ;3233;2837;4053828;3910408;5630000;4100000;4000000;2166374;1862617;916007;1361748;717994;0.8775;0.9646;0.7282;0.5416;0.4918;0.5273;16911426;11813620;28725046;0.6986
ECU;EC;2000;2000;1695008;1607911;2047369;1951974;1327144;1345454;862239;846289;871370;866853;1.0;0.9486;0.9534;1.0138;0.9815;0.9948;6805130;6620481;13425611;0.9729
EST;EE;2000;2000;46066;52354;79956;77756;86630;93326;62400;77940;64794;121100;1.0;1.1365;0.9725;1.0773;1.249;1.869;341846;424476;766322;1.2417
EGY;EG;9353;5654;8600000;6600000;10027586;6834615;7100000;4100000;3558621;1898633;3032933;1660573;0.6045;0.7674;0.6816;0.5775;0.5335;0.5475;32328493;21099475;53427968;0.6527
ESH;EH;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;3000;3000;1.0;1.0;1.0;1.0;1.0;1.0;13000;13000;26000;1.0
ERI;ER;2000;2000;2500;2507;3860;2634;2576;2000;2000;2000;3000;3000;1.0;1.0028;0.6824;0.7764;1.0;1.0;15936;14141;30077;0.8874
ESP;ES;2000;2000;580937;604311;1948610;2135847;2300000;2600000;2400000;2766667;3081427;3751433;1.0;1.0402;1.0961;1.1304;1.1528;1.2174;10312974;11860258;22173232;1.15
ETH;ET;2000;2000;1179088;730415;2863333;1422718;1748568;670837;370747;120369;257182;149125;1.0;0.6195;0.4969;0.3836;0.3247;0.5798;6420918;3095464;9516382;0.4821
FIN;FI;2000;2000;128994;139750;284676;304869;263891;305736;217771;254596;349396;485626;1.0;1.0834;1.0709;1.1586;1.1691;1.3899;1246728;1492577;2739305;1.1972
FJI;FJ;2000;2000;69444;68158;86761;82236;66009;61937;42214;40189;41634;42378;1.0;0.9815;0.9478;0.9383;0.952;1.0179;308062;296898;604960;0.9638
FLK;FK;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;3000;3000;1.0;1.0;1.0;1.0;1.0;1.0;13000;13000;26000;1.0
FSM;FM;2000;2000;6181;7663;5500;6300;4000;4276;2767;2900;3100;3300;1.0;1.2398;1.1455;1.069;1.0481;1.0645;23548;26439;49987;1.1228
FRO;FO;2000;2000;2900;2700;3900;3300;3500;3230;3200;3000;6200;7000;1.0;0.931;0.8462;0.9229;0.9375;1.129;21700;21230;42930;0.9783
FRA;FR;2000;2000;1602741;1744230;4200000;3965517;3631034;3800000;2922184;3104598;4122679;5300000;1.0;1.0883;0.9442;1.0465;1.0624;1.2856;16480638;17916345;34396983;1.0871
GAB;GA;2000;2000;103219;96508;159538;135164;119616;79623;60445;32270;49087;32968;1.0;0.935;0.8472;0.6657;0.5339;0.6716;493905;378533;872438;0.7664
GBR;GB;2257;2760;2176646;2326115;4650000;4800000;4100000;4566667;3300000;3600000;5473333;6600000;1.2229;1.0687;1.0323;1.1138;1.0909;1.2058;19702236;21895542;41597778;1.1113
GRD;GD;2000;2000;5300;5000;10500;10500;8400;8996;4800;4950;5400;5900;1.0;0.9434;1.0;1.071;1.0312;1.0926;36400;37346;73746;1.026
