,country_code,region_id,region_level,region_name,support_below_18
292,US,790,PROVINCE,"Albuquerque-Santa Fe,DMA®",True
293,US,5744337,PROVINCE,Oregon,True
294,US,576,PROVINCE,"Salisbury,DMA®",True
295,AR,3848949,PROVINCE,La Rioja,True
296,RO,665283,PROVINCE,Teleorman,True
297,RO,679385,PROVINCE,Dambovita,True
298,MX,3522509,PROVINCE,Oaxaca,True
299,DE,2842566,PROVINCE,Saxony,True
300,BE,3337388,PROVINCE,Flanders,True
301,NL,2755634,PROVINCE,Gelderland,True
302,CA,6185811,PROVINCE,Yukon,True
303,US,632,PROVINCE,"Paducah-Cape Girardeau-Harrisburg,DMA®",True
304,RO,673150,PROVINCE,Calarasi,True
305,JP,1856156,PROVINCE,Nagasaki,True
306,US,4273857,PROVINCE,Kansas,True
307,PT,2262961,PROVINCE,Setúbal,True
308,JP,1857907,PROVINCE,Kyoto,True
309,DE,2862926,PROVINCE,Lower Saxony,True
310,US,4331987,PROVINCE,Louisiana,True
311,BR,3395443,PROVINCE,Maranhao,True
312,JP,1853299,PROVINCE,Saga,True
313,RO,675848,PROVINCE,Ialomita,True
314,PT,2269513,PROVINCE,Castelo Branco,True
315,BR,3451133,PROVINCE,Rio Grande do Sul,True
316,MX,3520914,PROVINCE,Queretaro,True
317,JP,2113014,PROVINCE,Chiba,True
318,ES,2593112,PROVINCE,Extremadura,True
319,US,765,PROVINCE,"El Paso (Las Cruces),DMA®",True
320,FI,830705,PROVINCE,Tavastia Proper,True
321,TR,304041,PROVINCE,Mus,True
322,CA,5909050,PROVINCE,British Columbia,True
323,US,798,PROVINCE,"Glendive,DMA®",True
324,TR,443213,PROVINCE,Kilis,True
325,US,623,PROVINCE,"Dallas-Fort Worth,DMA®",True
326,ZA,1085596,PROVINCE,Northern Cape,True
327,US,555,PROVINCE,"Syracuse,DMA®",True
328,AT,2761367,PROVINCE,Vienna,True
329,US,551,PROVINCE,"Lansing,DMA®",True
330,AR,3835868,PROVINCE,Santiago del Estero,True
331,US,648,PROVINCE,"Champaign-Springfield-Decatur,DMA®",True
332,SE,2664870,PROVINCE,Vrmland,True
333,TR,443183,PROVINCE,Osmaniye,True
334,US,5242283,PROVINCE,Vermont,True
335,RO,684878,PROVINCE,Bihor,True
336,MX,3514211,PROVINCE,Yucatan,True
337,IT,3174618,PROVINCE,Lombardy,True
338,ES,3117732,PROVINCE,Madrid,True
339,PL,3337492,PROVINCE,Lower Silesian,True
340,CH,2658226,PROVINCE,Uri,True
341,RO,683123,PROVINCE,Buzau,True
342,MX,3995955,PROVINCE,Michoacan,True
343,MX,4014336,PROVINCE,Chihuahua,True
344,US,537,PROVINCE,"Bangor,DMA®",True
345,TR,739598,PROVINCE,Sinop,True
346,JP,1855608,PROVINCE,Nara,True
347,US,709,PROVINCE,"Tyler-Longview (Lufkin-Nacogdoches),DMA®",True
348,CH,2658182,PROVINCE,Vaud,True
349,ZA,967573,PROVINCE,Free State,True
350,PL,858787,PROVINCE,Masovian,True
351,KZ,94600135,PROVINCE,Almaty,True
352,TR,745042,PROVINCE,Istanbul,True
353,CH,2661739,PROVINCE,Appenzell Ausserrhoden,True
354,AR,3433955,PROVINCE,Autonomous City of Buenos Aires,True
355,FI,830708,PROVINCE,Southwest Finland,True
356,TR,862467,PROVINCE,Bartin,True
357,US,612,PROVINCE,"Shreveport,DMA®",True
358,FI,830704,PROVINCE,Pirkanmaa,True
359,NL,2749990,PROVINCE,North Brabant,True
360,JP,1860825,PROVINCE,Kagoshima,True
361,JP,2113124,PROVINCE,Akita,True
362,ES,3115609,PROVINCE,Navarre,True
363,US,736,PROVINCE,"Bowling Green,DMA®",True
364,US,598,PROVINCE,"Clarksburg-Weston,DMA®",True
365,AR,3837029,PROVINCE,San Luis,True
366,BR,3393129,PROVINCE,Para,True
367,JP,1850310,PROVINCE,Tochigi,True
368,MX,3979840,PROVINCE,Zacatecas,True
369,BR,3463504,PROVINCE,Federal District,True
370,US,506,PROVINCE,"Boston (Manchester),DMA®",True
371,SE,2699767,PROVINCE,Dalarna,True
372,US,724,PROVINCE,"Fargo-Moorhead-Grand Forks,DMA®",True
373,TR,752014,PROVINCE,Amasya,True
374,MX,3527213,PROVINCE,Guerrero,True
375,US,628,PROVINCE,"Monroe-El Dorado,DMA®",True
376,RO,684039,PROVINCE,Botosani,True
377,AR,3836276,PROVINCE,Santa Fe,True
378,TR,737021,PROVINCE,Zonguldak,True
379,US,881,PROVINCE,"Spokane,DMA®",True
380,IT,3164857,PROVINCE,Aosta Valley,True
381,SE,2703330,PROVINCE,Jamtland,True
382,PL,858786,PROVINCE,Lesser Poland,True
383,US,5090174,PROVINCE,New Hampshire,True
384,FI,831040,PROVINCE,Paijat Hame,True
385,US,671,PROVINCE,"Tulsa,DMA®",True
386,JP,1863501,PROVINCE,Gunma,True
387,SA,106281,PROVINCE,Hail,True
388,AE,291075,PROVINCE,Ras Al Khaimah,True
389,TR,298332,PROVINCE,Sanliurfa,True
390,BR,3457419,PROVINCE,Mato Grosso,True
391,EG,361323,PROVINCE,Faiyum,True
392,AR,3860255,PROVINCE,Cordoba,True
393,SA,108411,PROVINCE,Ar Riyad,True
394,BD,1185286,PROVINCE,Barisal,True
395,FR,11071619,PROVINCE,Bourgogne Franche Comte,True
396,AR,3853404,PROVINCE,Jujuy,True
397,US,807,PROVINCE,"San Francisco-Oakland-San Jose,DMA®",True
398,BR,3390290,PROVINCE,Rio Grande do Norte,True
399,RO,668248,PROVINCE,Salaj,True
