,country_code,region_id,gender,age
196,NG,2328926,GENDER_FEMALE,AGE_45_54
197,NG,2328926,GENDER_FEMALE,AGE_55_100
198,NG,2328926,GENDER_MALE,AGE_13_17
199,NG,2328926,GENDER_MALE,AGE_18_24
200,NG,2328926,GENDER_MALE,AGE_25_34
201,NG,2328926,GENDER_MALE,AGE_35_44
202,NG,2328926,GENDER_MALE,AGE_45_54
203,NG,2328926,GENDER_MALE,AGE_55_100
204,KR,1835841,GENDER_FEMALE,AGE_13_17
205,KR,1835841,GENDER_FEMALE,AGE_18_24
206,KR,1835841,GENDER_FEMALE,AGE_25_34
207,KR,1835841,GENDER_FEMALE,AGE_35_44
208,KR,1835841,GENDER_FEMALE,AGE_45_54
209,KR,1835841,GENDER_FEMALE,AGE_55_100
210,KR,1835841,GENDER_MALE,AGE_13_17
211,KR,1835841,GENDER_MALE,AGE_18_24
212,KR,1835841,GENDER_MALE,AGE_25_34
213,KR,1835841,GENDER_MALE,AGE_35_44
214,KR,1835841,GENDER_MALE,AGE_45_54
215,KR,1835841,GENDER_MALE,AGE_55_100
216,UY,3439705,GENDER_FEMALE,AGE_13_17
217,UY,3439705,GENDER_FEMALE,AGE_18_24
218,UY,3439705,GENDER_FEMALE,AGE_25_34
219,UY,3439705,GENDER_FEMALE,AGE_35_44
220,UY,3439705,GENDER_FEMALE,AGE_45_54
221,UY,3439705,GENDER_FEMALE,AGE_55_100
222,UY,3439705,GENDER_MALE,AGE_13_17
223,UY,3439705,GENDER_MALE,AGE_18_24
224,UY,3439705,GENDER_MALE,AGE_25_34
225,UY,3439705,GENDER_MALE,AGE_35_44
226,UY,3439705,GENDER_MALE,AGE_45_54
227,UY,3439705,GENDER_MALE,AGE_55_100
228,NL,2750405,GENDER_FEMALE,AGE_13_17
229,NL,2750405,GENDER_FEMALE,AGE_18_24
230,NL,2750405,GENDER_FEMALE,AGE_25_34
231,NL,2750405,GENDER_FEMALE,AGE_35_44
232,NL,2750405,GENDER_FEMALE,AGE_45_54
233,NL,2750405,GENDER_FEMALE,AGE_55_100
234,NL,2750405,GENDER_MALE,AGE_13_17
235,NL,2750405,GENDER_MALE,AGE_18_24
236,NL,2750405,GENDER_MALE,AGE_25_34
237,NL,2750405,GENDER_MALE,AGE_35_44
238,NL,2750405,GENDER_MALE,AGE_45_54
239,NL,2750405,GENDER_MALE,AGE_55_100
240,PT,2264397,GENDER_FEMALE,AGE_13_17
241,PT,2264397,GENDER_FEMALE,AGE_18_24
242,PT,2264397,GENDER_FEMALE,AGE_25_34
243,PT,2264397,GENDER_FEMALE,AGE_35_44
244,PT,2264397,GENDER_FEMALE,AGE_45_54
245,PT,2264397,GENDER_FEMALE,AGE_55_100
246,PT,2264397,GENDER_MALE,AGE_13_17
247,PT,2264397,GENDER_MALE,AGE_18_24
248,PT,2264397,GENDER_MALE,AGE_25_34
249,PT,2264397,GENDER_MALE,AGE_35_44
250,PT,2264397,GENDER_MALE,AGE_45_54
251,PT,2264397,GENDER_MALE,AGE_55_100
252,AT,2782113,GENDER_FEMALE,AGE_13_17
253,AT,2782113,GENDER_FEMALE,AGE_18_24
254,AT,2782113,GENDER_FEMALE,AGE_25_34
255,AT,2782113,GENDER_FEMALE,AGE_35_44
256,AT,2782113,GENDER_FEMALE,AGE_45_54
257,AT,2782113,GENDER_FEMALE,AGE_55_100
258,AT,2782113,GENDER_MALE,AGE_13_17
259,AT,2782113,GENDER_MALE,AGE_18_24
260,AT,2782113,GENDER_MALE,AGE_25_34
261,AT,2782113,GENDER_MALE,AGE_35_44
262,AT,2782113,GENDER_MALE,AGE_45_54
263,AT,2782113,GENDER_MALE,AGE_55_100
264,AR,3865483,GENDER_FEMALE,AGE_13_17
265,AR,3865483,GENDER_FEMALE,AGE_18_24
266,AR,3865483,GENDER_FEMALE,AGE_25_34
267,AR,3865483,GENDER_FEMALE,AGE_35_44
268,AR,3865483,GENDER_FEMALE,AGE_45_54
269,AR,3865483,GENDER_FEMALE,AGE_55_100
270,AR,3865483,GENDER_MALE,AGE_13_17
271,AR,3865483,GENDER_MALE,AGE_18_24
272,AR,3865483,GENDER_MALE,AGE_25_34
273,AR,3865483,GENDER_MALE,AGE_35_44
274,AR,3865483,GENDER_MALE,AGE_45_54
275,AR,3865483,GENDER_MALE,AGE_55_100
276,QA,289688,GENDER_FEMALE,AGE_13_17
277,QA,289688,GENDER_FEMALE,AGE_18_24
278,QA,289688,GENDER_FEMALE,AGE_25_34
279,QA,289688,GENDER_FEMALE,AGE_35_44
280,QA,289688,GENDER_FEMALE,AGE_45_54
281,QA,289688,GENDER_FEMALE,AGE_55_100
282,QA,289688,GENDER_MALE,AGE_13_17
283,QA,289688,GENDER_MALE,AGE_18_24
284,QA,289688,GENDER_MALE,AGE_25_34
285,QA,289688,GENDER_MALE,AGE_35_44
286,QA,289688,GENDER_MALE,AGE_45_54
287,QA,289688,GENDER_MALE,AGE_55_100
288,DK,2623032,GENDER_FEMALE,AGE_13_17
289,DK,2623032,GENDER_FEMALE,AGE_18_24
290,DK,2623032,GENDER_FEMALE,AGE_25_34
291,DK,2623032,GENDER_FEMALE,AGE_35_44
292,DK,2623032,GENDER_FEMALE,AGE_45_54
293,DK,2623032,GENDER_FEMALE,AGE_55_100
294,DK,2623032,GENDER_MALE,AGE_13_17
295,DK,2623032,GENDER_MALE,AGE_18_24
296,DK,2623032,GENDER_MALE,AGE_25_34
297,DK,2623032,GENDER_MALE,AGE_35_44
298,DK,2623032,GENDER_MALE,AGE_45_54
299,DK,2623032,GENDER_MALE,AGE_55_100
300,GR,390903,GENDER_FEMALE,AGE_13_17
301,GR,390903,GENDER_FEMALE,AGE_18_24
302,GR,390903,GENDER_FEMALE,AGE_25_34
303,GR,390903,GENDER_FEMALE,AGE_35_44
304,GR,390903,GENDER_FEMALE,AGE_45_54
305,GR,390903,GENDER_FEMALE,AGE_55_100
306,GR,390903,GENDER_MALE,AGE_13_17
307,GR,390903,GENDER_MALE,AGE_18_24
308,GR,390903,GENDER_MALE,AGE_25_34
309,GR,390903,GENDER_MALE,AGE_35_44
310,GR,390903,GENDER_MALE,AGE_45_54
311,GR,390903,GENDER_MALE,AGE_55_100
312,DZ,2589581,GENDER_FEMALE,AGE_13_17
313,DZ,2589581,GENDER_FEMALE,AGE_18_24
314,DZ,2589581,GENDER_FEMALE,AGE_25_34
315,DZ,2589581,GENDER_FEMALE,AGE_35_44
316,DZ,2589581,GENDER_FEMALE,AGE_45_54
317,DZ,2589581,GENDER_FEMALE,AGE_55_100
318,DZ,2589581,GENDER_MALE,AGE_13_17
319,DZ,2589581,GENDER_MALE,AGE_18_24
320,DZ,2589581,GENDER_MALE,AGE_25_34
321,DZ,2589581,GENDER_MALE,AGE_35_44
322,DZ,2589581,GENDER_MALE,AGE_45_54
323,DZ,2589581,GENDER_MALE,AGE_55_100
324,PL,798544,GENDER_FEMALE,AGE_13_17
325,PL,798544,GENDER_FEMALE,AGE_18_24
326,PL,798544,GENDER_FEMALE,AGE_25_34
327,PL,798544,GENDER_FEMALE,AGE_35_44
328,PL,798544,GENDER_FEMALE,AGE_45_54
329,PL,798544,GENDER_FEMALE,AGE_55_100
330,PL,798544,GENDER_MALE,AGE_13_17
331,PL,798544,GENDER_MALE,AGE_18_24
332,PL,798544,GENDER_MALE,AGE_25_34
333,PL,798544,GENDER_MALE,AGE_35_44
334,PL,798544,GENDER_MALE,AGE_45_54
335,PL,798544,GENDER_MALE,AGE_55_100
336,BY,630336,GENDER_FEMALE,AGE_13_17
337,BY,630336,GENDER_FEMALE,AGE_18_24
338,BY,630336,GENDER_FEMALE,AGE_25_34
339,BY,630336,GENDER_FEMALE,AGE_35_44
340,BY,630336,GENDER_FEMALE,AGE_45_54
341,BY,630336,GENDER_FEMALE,AGE_55_100
342,BY,630336,GENDER_MALE,AGE_13_17
343,BY,630336,GENDER_MALE,AGE_18_24
344,BY,630336,GENDER_MALE,AGE_25_34
345,BY,630336,GENDER_MALE,AGE_35_44
346,BY,630336,GENDER_MALE,AGE_45_54
347,BY,630336,GENDER_MALE,AGE_55_100
348,DO,3508796,GENDER_FEMALE,AGE_13_17
349,DO,3508796,GENDER_FEMALE,AGE_18_24
350,DO,3508796,GENDER_FEMALE,AGE_25_34
351,DO,3508796,GENDER_FEMALE,AGE_35_44
352,DO,3508796,GENDER_FEMALE,AGE_45_54
353,DO,3508796,GENDER_FEMALE,AGE_55_100
354,DO,3508796,GENDER_MALE,AGE_13_17
355,DO,3508796,GENDER_MALE,AGE_18_24
356,DO,3508796,GENDER_MALE,AGE_25_34
357,DO,3508796,GENDER_MALE,AGE_35_44
358,DO,3508796,GENDER_MALE,AGE_45_54
359,DO,3508796,GENDER_MALE,AGE_55_100
360,CA,6251999,GENDER_FEMALE,AGE_13_17
361,CA,6251999,GENDER_FEMALE,AGE_18_24
362,CA,6251999,GENDER_FEMALE,AGE_25_34
363,CA,6251999,GENDER_FEMALE,AGE_35_44
364,CA,6251999,GENDER_FEMALE,AGE_45_54
365,CA,6251999,GENDER_FEMALE,AGE_55_100
366,CA,6251999,GENDER_MALE,AGE_13_17
367,CA,6251999,GENDER_MALE,AGE_18_24
368,CA,6251999,GENDER_MALE,AGE_25_34
369,CA,6251999,GENDER_MALE,AGE_35_44
370,CA,6251999,GENDER_MALE,AGE_45_54
371,CA,6251999,GENDER_MALE,AGE_55_100
372,IT,3175395,GENDER_FEMALE,AGE_13_17
373,IT,3175395,GENDER_FEMALE,AGE_18_24
374,IT,3175395,GENDER_FEMALE,AGE_25_34
375,IT,3175395,GENDER_FEMALE,AGE_35_44
