country_code,country_name,male_2534,female_2534,male_3544,female_3544,male_4554,female_4554,male_55plus,female_55plus,male_1317,female_1317,male_1824,female_1824
FRA,France,3943909.0,3895621.0,4026014.0,4204429.0,4281636.0,4374865.0,4174183.0,4481437.0,416456.5,373686.5,476431.0,440606.5
FRO,Faroe Islands,3610.0,3105.0,3666.0,3308.0,3589.0,3096.0,3463.0,3184.0,427271.5,383768.5,488430.0,445803.0
FSM,"Micronesia, Fed. Sts.",9655.0,9351.0,6019.0,5905.0,4464.0,4888.0,3645.0,4425.0,437791.0,393544.0,507009.5,458460.5
GAB,Gabon,193992.0,186502.0,180034.0,162352.0,120721.0,109265.0,68180.0,66425.0,771356.0,769379.5,756808.5,757562.5
GBR,United Kingdom,4644573.0,4444439.0,4514570.0,4593123.0,4263887.0,4360763.0,4199397.0,4564101.0,813672.0,811423.0,793476.5,794661.0
GEO,Georgia,235149.0,233036.0,261701.0,278422.0,212987.0,247549.0,192286.0,254664.0,857248.0,854618.0,840490.0,842280.0
GHA,Ghana,2639795.0,2625435.0,2154122.0,2162856.0,1485798.0,1529742.0,944433.0,1017747.0,898815.5,895764.5,890202.0,892565.5
GIB,Gibraltar,2771.0,2678.0,2678.0,2687.0,2619.0,2599.0,2403.0,2457.0,935164.0,931659.5,939932.0,942772.5
GIN,Guinea,1181688.0,1173422.0,722047.0,771093.0,415186.0,497313.0,285039.0,349053.0,337936.0,321604.0,473354.0,454569.5
GMB,"Gambia, The",216768.0,217022.0,142759.0,144999.0,86419.0,91028.0,62725.0,72304.0,344417.0,328320.5,472648.0,454483.0
GNB,Guinea-Bissau,171625.0,171876.0,125202.0,127560.0,80169.0,88058.0,40077.0,51687.0,350359.0,334459.0,473144.0,452900.0
GNQ,Equatorial Guinea,146852.0,126568.0,147470.0,109386.0,97077.0,70019.0,57174.0,49344.0,354047.0,338060.0,478007.5,456741.0
GRC,Greece,534615.0,486979.0,628283.0,627371.0,768642.0,794509.0,696290.0,780361.0,355635.0,339444.5,487545.0,466060.0
GRD,Grenada,9546.0,9188.0,9955.0,9872.0,6475.0,6089.0,6158.0,6114.0,764186.5,740613.5,883696.0,857053.0
GRL,Greenland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,784925.5,761500.0,907728.0,880434.5
GTM,Guatemala,1654228.0,1643694.0,1194805.0,1214797.0,727927.0,799820.0,435724.0,532811.0,805473.0,782379.5,932714.5,904897.5
GUM,Guam,11967.0,10664.0,9776.0,9273.0,9299.0,9405.0,9555.0,9509.0,825794.0,802975.0,958687.0,930597.0
GUY,Guyana,69515.0,71839.0,44388.0,50539.0,40590.0,46200.0,32410.0,37536.0,846871.5,824085.0,985544.5,957400.5
HIC,High income,94146175.0,84948766.0,101543450.0,94682136.0,95132181.0,93064858.0,88361552.0,91515256.0,1324097.0,1287646.0,1470391.5,1441876.5
HKG,"Hong Kong SAR, China",409750.0,462046.0,464532.0,695915.0,466678.0,698599.0,531123.0,672661.0,1371045.0,1333039.5,1518300.0,1488126.0
HND,Honduras,970432.0,938480.0,752499.0,738369.0,516387.0,524156.0,289647.0,322751.0,1417271.0,1377987.0,1567504.0,1536576.5
HPC,Heavily indebted poor countries (HIPC),70977526.0,71213885.0,48120409.0,49454452.0,31066194.0,32650273.0,18596004.0,20782483.0,1461197.0,1420400.0,1621706.0,1589221.0
HRV,Croatia,215795.0,204018.0,251453.0,243260.0,266011.0,264534.0,261156.0,281732.0,1502475.0,1459954.5,1680003.0,1644863.5
HTI,Haiti,992981.0,1001167.0,783775.0,799074.0,539888.0,561620.0,340678.0,377554.0,8626394.0,8634047.5,10403514.5,12046418.0
HUN,Hungary,594399.0,557183.0,641074.0,610664.0,780998.0,772498.0,560855.0,612052.0,8702682.0,8510123.0,10408006.5,12111186.0
IBD,IBRD only,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8729347.5,8325552.5,10608563.0,12107133.0
IBT,IDA & IBRD total,532570268.0,507799154.0,494812546.0,480729762.0,391017625.0,391010614.0,307726132.0,322899730.0,8712498.5,8140047.5,10853700.5,12080639.5
IDA,IDA total,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8653746.0,7969465.5,11121325.5,12022540.5
IDB,IDA blend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169821.0,160062.5,220712.5,207804.0
IDN,Indonesia,22138771.0,21129290.0,21170774.0,20386649.0,18491770.0,18391102.0,13448916.0,14145692.0,174263.5,164641.0,224062.5,211354.0
IDX,IDA only,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177936.0,168469.0,229529.5,217251.5
IMN,Isle of Man,4578.0,4451.0,4831.0,5143.0,5606.0,5807.0,6468.0,6486.0,179618.5,169986.5,231503.0,218905.5
IND,India,128269257.0,116951748.0,111624698.0,103586498.0,84668459.0,80690780.0,60017269.0,59376083.0,180075.0,170355.5,231781.5,218538.0
INX,Not classified,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48565.0,41252.5,98836.5,64524.5
IRL,Ireland,329170.0,322091.0,363455.0,388299.0,388711.0,400950.0,310927.0,319581.0,45322.5,42004.5,93099.0,59284.5
IRN,"Iran, Islamic Rep.",6902121.0,6658803.0,8999936.0,8689018.0,6236098.0,5970306.0,4167389.0,4145912.0,44440.0,43838.0,85627.5,55211.0
IRQ,Iraq,3761704.0,3654815.0,2686226.0,2684373.0,1947885.0,2013426.0,1143645.0,1319933.0,46118.0,45173.0,85231.5,56807.5
ISL,Iceland,33349.0,30610.0,31188.0,27131.0,25632.0,23716.0,22035.0,22003.0,46835.5,45873.0,88579.0,59113.5
ISR,Israel,676037.0,653389.0,605957.0,604836.0,540289.0,551795.0,402842.0,425553.0,14170.5,13973.5,20414.0,20681.0
ITA,Italy,3255173.0,3013520.0,3461335.0,3405962.0,4366674.0,4403431.0,4509966.0,4720643.0,14335.0,14131.0,20043.5,20299.5
JAM,Jamaica,262125.0,254183.0,232128.0,226722.0,178110.0,182679.0,133806.0,157903.0,14381.0,14178.5,19800.0,20063.5
JOR,Jordan,965522.0,883985.0,810365.0,715582.0,617121.0,550310.0,421845.0,377838.0,14270.5,14058.5,19797.5,20037.5
JPN,Japan,6194414.0,5953869.0,6981661.0,6787158.0,9259254.0,9116671.0,8183770.0,8036868.0,14097.5,13867.0,20042.5,20230.5
KAZ,Kazakhstan,1375828.0,1338288.0,1496148.0,1496632.0,1105995.0,1204856.0,878789.0,1052580.0,86804.5,80414.5,130714.0,119251.0
KEN,Kenya,4374464.0,4589867.0,3385955.0,3330779.0,2165767.0,2135874.0,1248806.0,1324462.0,85160.0,78894.0,127706.5,116739.0
KGZ,Kyrgyz Republic,543576.0,556942.0,481752.0,495016.0,346273.0,364954.0,267742.0,311054.0,84071.5,77922.0,124881.5,114623.0
KHM,Cambodia,1328421.0,1382721.0,1302570.0,1346169.0,804147.0,851486.0,621650.0,726479.0,82488.0,76482.0,122580.0,112836.0
KIR,Kiribati,10814.0,11351.0,8207.0,9133.0,5182.0,5979.0,4144.0,5120.0,80572.5,74745.0,120907.0,111463.0
KNA,St. Kitts and Nevis,3421.0,3715.0,3572.0,4024.0,3072.0,3314.0,2737.0,2913.0,239649.5,226934.0,317346.0,299056.5
KOR,"Korea, Rep.",3761187.0,3320203.0,3708323.0,3409962.0,4149582.0,4025828.0,4191824.0,4233539.0,250438.0,236818.0,313305.5,295027.5
KWT,Kuwait,636324.0,333489.0,816745.0,425275.0,542936.0,287548.0,247661.0,136415.0,261458.0,246719.0,312522.5,295095.0
