country_code,bucket,pen_total,pen_male,pen_female,gap_abs,gap_pct
PAN,3544,0.7674120541009577,0.8459,0.6881,0.1577,10.2819
PAN,4554,0.5362918768539777,0.5629,0.5099,0.053,4.9358
PAN,55plus,0.6405715581552475,0.6099,0.6699,-0.06,-4.6854
POL,1519,0.0005187058289567529,0.0005,0.0005,-0.0,-2.515
POL,2024,1.9017538127350342,1.6803,2.1337,-0.4534,-11.8882
POL,2534,0.9798958312317692,0.8278,1.1387,-0.3109,-15.8104
POL,3544,0.38360455207323035,0.3296,0.4393,-0.1098,-14.2772
POL,4554,0.2812326683007883,0.2367,0.326,-0.0892,-15.855
POL,55plus,0.28398522612531224,0.2274,0.3369,-0.1095,-19.4102
PRI,1519,0.00558550004189125,0.0054,0.0058,-0.0003,-2.8916
PRI,2024,0.32822542718294406,0.2829,0.3755,-0.0926,-14.0644
PRI,2534,0.3059229671045759,0.3668,0.2471,0.1198,19.5079
PRI,3544,0.253186147786087,0.2963,0.2146,0.0816,15.9755
PRI,4554,0.14948898684736098,0.1676,0.1334,0.0343,11.3858
PRI,55plus,0.18187002804390925,0.247,0.1266,0.1205,32.242
PRT,1519,0.001911369783155098,0.0019,0.0019,-0.0001,-1.7556
PRT,2024,1.6521873485641245,1.3067,2.0136,-0.7069,-21.2898
PRT,2534,1.1701368343685905,0.9528,1.3935,-0.4407,-18.7845
PRT,3544,0.5618581729210457,0.4723,0.6478,-0.1755,-15.6669
PRT,4554,0.3764466824027031,0.3045,0.4424,-0.1379,-18.4637
PRT,55plus,0.3186892498617451,0.2465,0.382,-0.1354,-21.5502
PRY,1519,0.00168975434351354,0.0017,0.0017,-0.0001,-2.1004
PRY,2024,2.143448877261827,2.1413,2.1457,-0.0044,-0.1036
PRY,2534,1.5610267066502628,1.7811,1.3352,0.4459,14.3081
PRY,3544,0.6922532518933401,0.7932,0.5897,0.2035,14.7181
PRY,4554,0.5012951349380658,0.5532,0.4495,0.1037,10.339
PRY,55plus,0.5738932464015853,0.5745,0.5733,0.0013,0.1102
QAT,1519,0.026224922417937845,0.0238,0.0292,-0.0053,-10.059
QAT,2024,7.003331314354936,7.3221,6.3196,1.0026,7.3492
QAT,2534,3.367853160533889,3.3079,3.5663,-0.2584,-3.7593
QAT,3544,1.4893349919541672,1.3769,1.8618,-0.4849,-14.9714
QAT,4554,0.7524364291098344,0.6166,1.2041,-0.5875,-32.2666
QAT,55plus,1.5711473461352747,1.3063,2.2898,-0.9835,-27.3493
ROU,1519,0.0009170155910990798,0.0009,0.0009,-0.0,-2.0919
