country_code,bucket,pop_male,pop_female
ERI,2024,188016.0,186181.0
ERI,2534,268032.0,265944.0
ERI,3544,158861.0,165032.0
ERI,4554,118202.0,135479.0
ERI,55plus,82211.0,99991.0
ESP,2024,1316716.0,1245750.0
ESP,2534,2621150.0,2535200.0
ESP,3544,3162322.0,3133224.0
ESP,4554,4020627.0,3927757.0
ESP,55plus,3536348.0,3649198.0
EST,2024,33269.0,31724.0
EST,2534,74925.0,69658.0
EST,3544,105094.0,96063.0
EST,4554,93916.0,90913.0
EST,55plus,80074.0,88913.0
ETH,2024,6855759.0,6757098.0
ETH,2534,10750422.0,10659598.0
ETH,3544,6797601.0,6808016.0
ETH,4554,4390173.0,4625697.0
ETH,55plus,2816032.0,3196310.0
EUU,2024,12295106.0,11640385.0
EUU,2534,26295998.0,24965690.0
EUU,3544,29460062.0,28889399.0
EUU,4554,31277614.0,31216195.0
EUU,55plus,30691391.0,31986038.0
FCS,2024,51654569.0,50515709.0
FCS,2534,80607412.0,79782414.0
FCS,3544,58671024.0,59311296.0
FCS,4554,40477749.0,42510968.0
FCS,55plus,26122713.0,28984224.0
FIN,2024,161454.0,153381.0
FIN,2534,355432.0,333025.0
FIN,3544,377436.0,352895.0
FIN,4554,342108.0,327799.0
FIN,55plus,354460.0,358713.0
FJI,2024,37175.0,37826.0
FJI,2534,72333.0,72335.0
FJI,3544,68059.0,68033.0
FJI,4554,51160.0,50991.0
FJI,55plus,39216.0,41303.0
FRA,2024,2192279.0,2084824.0
FRA,2534,3943909.0,3895621.0
FRA,3544,4026014.0,4204429.0
FRA,4554,4281636.0,4374865.0
FRA,55plus,4174183.0,4481437.0
FRO,2024,2055.0,1885.0
FRO,2534,3610.0,3105.0
FRO,3544,3666.0,3308.0
FRO,4554,3589.0,3096.0
FRO,55plus,3463.0,3184.0
FSM,2024,5433.0,5367.0
FSM,2534,9655.0,9351.0
FSM,3544,6019.0,5905.0
FSM,4554,4464.0,4888.0
FSM,55plus,3645.0,4425.0
GAB,2024,106790.0,106096.0
GAB,2534,193992.0,186502.0
GAB,3544,180034.0,162352.0
GAB,4554,120721.0,109265.0
GAB,55plus,68180.0,66425.0
GBR,2024,2061253.0,1957753.0
GBR,2534,4644573.0,4444439.0
GBR,3544,4514570.0,4593123.0
GBR,4554,4263887.0,4360763.0
GBR,55plus,4199397.0,4564101.0
GEO,2024,105929.0,99615.0
GEO,2534,235149.0,233036.0
GEO,3544,261701.0,278422.0
GEO,4554,212987.0,247549.0
GEO,55plus,192286.0,254664.0
GHA,2024,1601918.0,1582978.0
GHA,2534,2639795.0,2625435.0
GHA,3544,2154122.0,2162856.0
GHA,4554,1485798.0,1529742.0
GHA,55plus,944433.0,1017747.0
GIB,2024,1306.0,1285.0
GIB,2534,2771.0,2678.0
GIB,3544,2678.0,2687.0
GIB,4554,2619.0,2599.0
GIB,55plus,2403.0,2457.0
GIN,2024,715924.0,701228.0
GIN,2534,1181688.0,1173422.0
GIN,3544,722047.0,771093.0
GIN,4554,415186.0,497313.0
GIN,55plus,285039.0,349053.0
GMB,2024,132595.0,131072.0
GMB,2534,216768.0,217022.0
GMB,3544,142759.0,144999.0
GMB,4554,86419.0,91028.0
GMB,55plus,62725.0,72304.0
GNB,2024,106902.0,105840.0
GNB,2534,171625.0,171876.0
GNB,3544,125202.0,127560.0
GNB,4554,80169.0,88058.0
GNB,55plus,40077.0,51687.0
GNQ,2024,80367.0,74270.0
GNQ,2534,146852.0,126568.0
GNQ,3544,147470.0,109386.0
GNQ,4554,97077.0,70019.0
GNQ,55plus,57174.0,49344.0
GRC,2024,275038.0,249384.0
GRC,2534,534615.0,486979.0
GRC,3544,628283.0,627371.0
GRC,4554,768642.0,794509.0
GRC,55plus,696290.0,780361.0
GRD,2024,4142.0,4012.0
GRD,2534,9546.0,9188.0
GRD,3544,9955.0,9872.0
GRD,4554,6475.0,6089.0
GRD,55plus,6158.0,6114.0
GRL,2024,0.0,0.0
GRL,2534,0.0,0.0
GRL,3544,0.0,0.0
GRL,4554,0.0,0.0
GRL,55plus,0.0,0.0
GTM,2024,939890.0,923662.0
GTM,2534,1654228.0,1643694.0
GTM,3544,1194805.0,1214797.0
GTM,4554,727927.0,799820.0
GTM,55plus,435724.0,532811.0
GUM,2024,5900.0,5534.0
GUM,2534,11967.0,10664.0
GUM,3544,9776.0,9273.0
GUM,4554,9299.0,9405.0
GUM,55plus,9555.0,9509.0
GUY,2024,35306.0,34116.0
GUY,2534,69515.0,71839.0
GUY,3544,44388.0,50539.0
GUY,4554,40590.0,46200.0
GUY,55plus,32410.0,37536.0
HIC,2024,42364094.0,39386825.0
HIC,2534,94146175.0,84948766.0
HIC,3544,101543450.0,94682136.0
HIC,4554,95132181.0,93064858.0
HIC,55plus,88361552.0,91515256.0
HKG,2024,131946.0,131304.0
HKG,2534,409750.0,462046.0
HKG,3544,464532.0,695915.0
HKG,4554,466678.0,698599.0
HKG,55plus,531123.0,672661.0
HND,2024,541533.0,518665.0
HND,2534,970432.0,938480.0
HND,3544,752499.0,738369.0
HND,4554,516387.0,524156.0
HND,55plus,289647.0,322751.0
HPC,2024,45535738.0,45081791.0
HPC,2534,70977526.0,71213885.0
HPC,3544,48120409.0,49454452.0
HPC,4554,31066194.0,32650273.0
HPC,55plus,18596004.0,20782483.0
HRV,2024,99291.0,93885.0
HRV,2534,215795.0,204018.0
HRV,3544,251453.0,243260.0
HRV,4554,266011.0,264534.0
HRV,55plus,261156.0,281732.0
HTI,2024,551436.0,550365.0
HTI,2534,992981.0,1001167.0
HTI,3544,783775.0,799074.0
HTI,4554,539888.0,561620.0
HTI,55plus,340678.0,377554.0
HUN,2024,258712.0,244073.0
HUN,2534,594399.0,557183.0
HUN,3544,641074.0,610664.0
HUN,4554,780998.0,772498.0
HUN,55plus,560855.0,612052.0
IBD,2024,0.0,0.0
IBD,2534,0.0,0.0
IBD,3544,0.0,0.0
IBD,4554,0.0,0.0
IBD,55plus,0.0,0.0
IBT,2024,282995433.0,267173836.0
IBT,2534,532570268.0,507799154.0
IBT,3544,494812546.0,480729762.0
IBT,4554,391017625.0,391010614.0
IBT,55plus,307726132.0,322899730.0
IDA,2024,0.0,0.0
IDA,2534,0.0,0.0
IDA,3544,0.0,0.0
IDA,4554,0.0,0.0
IDA,55plus,0.0,0.0
IDB,2024,0.0,0.0
IDB,2534,0.0,0.0
IDB,3544,0.0,0.0
IDB,4554,0.0,0.0
IDB,55plus,0.0,0.0
IDN,2024,11293209.0,10740582.0
IDN,2534,22138771.0,21129290.0
IDN,3544,21170774.0,20386649.0
IDN,4554,18491770.0,18391102.0
IDN,55plus,13448916.0,14145692.0
IDX,2024,0.0,0.0
IDX,2534,0.0,0.0
IDX,3544,0.0,0.0
IDX,4554,0.0,0.0
IDX,55plus,0.0,0.0
IMN,2024,2355.0,2114.0
IMN,2534,4578.0,4451.0
IMN,3544,4831.0,5143.0
IMN,4554,5606.0,5807.0
IMN,55plus,6468.0,6486.0
IND,2024,68036933.0,61765368.0
IND,2534,128269257.0,116951748.0
IND,3544,111624698.0,103586498.0
IND,4554,84668459.0,80690780.0
IND,55plus,60017269.0,59376083.0
INX,2024,0.0,0.0
INX,2534,0.0,0.0
INX,3544,0.0,0.0
INX,4554,0.0,0.0
INX,55plus,0.0,0.0
IRL,2024,181715.0,175868.0
IRL,2534,329170.0,322091.0
IRL,3544,363455.0,388299.0
IRL,4554,388711.0,400950.0
IRL,55plus,310927.0,319581.0
IRN,2024,3000272.0,2866815.0
IRN,2534,6902121.0,6658803.0
IRN,3544,8999936.0,8689018.0
IRN,4554,6236098.0,5970306.0
IRN,55plus,4167389.0,4145912.0
IRQ,2024,2208780.0,2115100.0
IRQ,2534,3761704.0,3654815.0
IRQ,3544,2686226.0,2684373.0
IRQ,4554,1947885.0,2013426.0
IRQ,55plus,1143645.0,1319933.0
ISL,2024,13448.0,13050.0
ISL,2534,33349.0,30610.0
ISL,3544,31188.0,27131.0
ISL,4554,25632.0,23716.0
ISL,55plus,22035.0,22003.0
ISR,2024,388498.0,372781.0
ISR,2534,676037.0,653389.0
ISR,3544,605957.0,604836.0
ISR,4554,540289.0,551795.0
ISR,55plus,402842.0,425553.0
ITA,2024,1559724.0,1465379.0
ITA,2534,3255173.0,3013520.0
ITA,3544,3461335.0,3405962.0
ITA,4554,4366674.0,4403431.0
ITA,55plus,4509966.0,4720643.0
JAM,2024,117169.0,113282.0
JAM,2534,262125.0,254183.0
JAM,3544,232128.0,226722.0
JAM,4554,178110.0,182679.0
JAM,55plus,133806.0,157903.0
JOR,2024,499242.0,492984.0
JOR,2534,965522.0,883985.0
JOR,3544,810365.0,715582.0
JOR,4554,617121.0,550310.0
JOR,55plus,421845.0,377838.0
JPN,2024,3136998.0,2986343.0
JPN,2534,6194414.0,5953869.0
JPN,3544,6981661.0,6787158.0
JPN,4554,9259254.0,9116671.0
JPN,55plus,8183770.0,8036868.0
KAZ,2024,643748.0,618716.0
KAZ,2534,1375828.0,1338288.0
KAZ,3544,1496148.0,1496632.0
KAZ,4554,1105995.0,1204856.0
KAZ,55plus,878789.0,1052580.0
KEN,2024,2836210.0,2900422.0
KEN,2534,4374464.0,4589867.0
KEN,3544,3385955.0,3330779.0
KEN,4554,2165767.0,2135874.0
KEN,55plus,1248806.0,1324462.0
KGZ,2024,268369.0,267978.0
KGZ,2534,543576.0,556942.0
KGZ,3544,481752.0,495016.0
KGZ,4554,346273.0,364954.0
KGZ,55plus,267742.0,311054.0
KHM,2024,719794.0,714325.0
KHM,2534,1328421.0,1382721.0
KHM,3544,1302570.0,1346169.0
KHM,4554,804147.0,851486.0
KHM,55plus,621650.0,726479.0
KIR,2024,5388.0,5323.0
KIR,2534,10814.0,11351.0
KIR,3544,8207.0,9133.0
KIR,4554,5182.0,5979.0
KIR,55plus,4144.0,5120.0
KNA,2024,1490.0,1605.0
KNA,2534,3421.0,3715.0
KNA,3544,3572.0,4024.0
KNA,4554,3072.0,3314.0
KNA,55plus,2737.0,2913.0
KOR,2024,1407244.0,1292288.0
KOR,2534,3761187.0,3320203.0
KOR,3544,3708323.0,3409962.0
KOR,4554,4149582.0,4025828.0
KOR,55plus,4191824.0,4233539.0
KWT,2024,138302.0,119848.0
KWT,2534,636324.0,333489.0
KWT,3544,816745.0,425275.0
KWT,4554,542936.0,287548.0
KWT,55plus,247661.0,136415.0
LAC,2024,24280340.0,23664336.0
LAC,2534,47886303.0,47775951.0
LAC,3544,43306235.0,44674570.0
