country_code,bucket,tiktok_male,tiktok_female,pop_male,pop_female,pen_male,pen_female,gap_abs,gap_pct,tt_fm,pop_fm,relative_gap
FRA,2024,2729500.0,3027000.0,2192279.0,2084824.0,1.2451,1.4519,-0.2069,-7.6704,1.109,0.951,1.1661
FRA,2534,3273500.0,3547500.0,3943909.0,3895621.0,0.83,0.9106,-0.0806,-4.6318,1.0837,0.9878,1.0971
FRA,3544,1897500.0,2414000.0,4026014.0,4204429.0,0.4713,0.5742,-0.1028,-9.8374,1.2722,1.0443,1.2182
FRA,4554,1333000.0,1766000.0,4281636.0,4374865.0,0.3113,0.4037,-0.0923,-12.9147,1.3248,1.0218,1.2965
FRA,55plus,1090500.0,1580500.0,4174183.0,4481437.0,0.2612,0.3527,-0.0914,-14.8924,1.4493,1.0736,1.3499
GBR,1519,500.0,500.0,2147283.0,2044753.0,0.0002,0.0002,-0.0,-2.4458,1.0,0.9523,1.0501
GBR,2024,2875000.0,3199000.0,2061253.0,1957753.0,1.3948,1.634,-0.2392,-7.8986,1.1127,0.9498,1.1715
GBR,2534,3879500.0,4435000.0,4644573.0,4444439.0,0.8353,0.9979,-0.1626,-8.87,1.1432,0.9569,1.1947
GBR,3544,2045000.0,3314000.0,4514570.0,4593123.0,0.453,0.7215,-0.2685,-22.864,1.6205,1.0174,1.5928
GBR,4554,1367500.0,2178500.0,4263887.0,4360763.0,0.3207,0.4996,-0.1789,-21.8036,1.5931,1.0227,1.5577
GBR,55plus,1240500.0,2004000.0,4199397.0,4564101.0,0.2954,0.4391,-0.1437,-19.5621,1.6155,1.0868,1.4865
GRC,1519,500.0,500.0,282479.0,266616.0,0.0018,0.0019,-0.0001,-2.8889,1.0,0.9438,1.0595
GRC,2024,401500.0,523000.0,275038.0,249384.0,1.4598,2.0972,-0.6374,-17.9189,1.3026,0.9067,1.4366
GRC,2534,573000.0,736000.0,534615.0,486979.0,1.0718,1.5114,-0.4396,-17.0164,1.2845,0.9109,1.4101
GRC,3544,366500.0,455000.0,628283.0,627371.0,0.5833,0.7252,-0.1419,-10.8448,1.2415,0.9985,1.2434
